Identifier,LAKE,TOWN,Noted.Location,Dominant.Taxa,Total.Cell.Concentration,Date.Advisory.Issued,Date.Advisory.Removed,Advisory.Days,AUID,Notification.Type
Downing.NewDurham,Downing Pond,New Durham,,unidentified,">70,000 or >50%",8/24/2009,10/16/2009,53,NHLAK700020102-02,Warning
Waukewan.Meredith,"Waukewan, Lake ",Meredith,,Anabaena,">70,000 or >50%",8/24/2009,8/28/2009,4,NHLAK700020108-02-01,Warning
French.Henniker,French Pond,Henniker,,Anabaena,"122,476",8/25/2009,9/7/2009,13,NHLAK700030504-02-01,Warning
Sondogardy.Northfield,Sondogardy Pond,Northfield,,Oscillatoria,"72,876",8/25/2009,8/28/2009,3,NHLAK700060101-02-01,Warning
Robinson.Hudson,Robinson Pond,Hudson,,Oscillatoria,">70,000 or >50%",8/31/2009,9/11/2009,11,NHLAK700061203-06-01,Warning
Sondogardy.Northfield,Sondogardy Pond,Northfield,,Oscillatoria,">70,000 or >50%",9/1/2009,9/7/2009,6,NHLAK700060101-02-01,Warning
Goose.Canaan,Goose Pond,"Canaan, Hanover",,Microcystis,">70,000 or >50%",9/4/2009,9/15/2009,11,NHLAK801060103-01,Warning
Monomonac.Rindge,"Monomonac, Lake",Rindge,,Anabaena,"500,000",5/23/2010,6/2/2010,10,NHLAK802020103-06,Warning
Locke.Barnstead,Locke Lake,Barnstead,,Anabaena,"120,000",5/25/2010,6/2/2010,8,NHIMP700060402-02,Warning
Angle.Sandown,Angle Pond,Sandown,,Anabaena,"235,000",5/25/2010,6/3/2010,9,NHLAK700061403-01-01,Warning
Pearly.Rindge,Pearly Lake,Rindge,,Anabaena,"256,000",5/25/2010,6/21/2010,27,NHLAK802020103-08,Warning
Willand.Somersworth,Willand Pond,Somersworth,,Anabaena,"739,000",5/26/2010,6/17/2010,22,NHLAK600030405-03,Warning
Rock.Windham,Rock Pond,Windham,,Anabaena,"196,000",6/15/2010,6/22/2010,7,NHLAK700061204-03,Warning
Showell.Sandown,Showell Pond,Sandown,,Oscillatoria,"82,882",6/16/2010,7/2/2010,16,NHLAK600030802-04,Warning
Nippo.Barrington,Nippo Pond,Barrington,,Anabaena,"87,000",6/17/2010,6/24/2010,7,NHLAK600030605-01,Warning
White.Tamworth,White Lake ,Tamworth,,Anabaena,"176,000",6/22/2010,6/23/2010,1,NHLAK600020605-02-01,Warning
Webster.Franklin,Webster Lake,Franklin,,Anabaena,"361,143",7/7/2010,7/8/2010,1,NHLAK700010804-02-01,Warning
Elm.Hopkinton,Elm Brook,Hopkinton,,Oscillatoria,"99,000",7/12/2010,7/20/2010,8,NHIMP700030503-01-01,Warning
Pearly.Rindge,Pearly Lake,Rindge,,Anabaena,"15,000",7/12/2010,8/2/2010,21,NHLAK802020103-08,Warning
Sebbins.Bedford,Sebbins Pond,Bedford,,Oscillatoria,"30,000",7/13/2010,8/4/2010,22,NHLAK700060804-02,Warning
Robinson.Hudson,Robinson Pond,Hudson,,Oscillatoria,">70,000 or >50%",7/13/2010,7/16/2010,3,NHLAK700061203-06-01,Warning
Forest.Winchester,Forest Lake,Winchester,,Oscillatoria,"17,877",7/16/2010,8/3/2010,18,NHLAK802010401-01-01,Warning
Duncan.Ossipee,Duncan Lake ,Ossipee,,Oscillatoria,"55,000",7/21/2010,8/2/2010,12,NHLAK600020703-01-01,Warning
Pawtuckaway.Nottingham,Pawtuckaway Lake,Nottingham,,Oscillatoria,"60,943",8/11/2010,8/30/2010,19,NHLAK600030704-02-01,Warning
Long.Pelham,Long Pond,Pelham,,Anabaena,"203,084",8/17/2010,8/27/2010,10,NHLAK700061205-02-01,Warning
BigIsland.Derry,Big Island Pond,Derry,,Anabaena,"97,000",8/19/2010,8/27/2010,8,NHLAK700061101-01-01,Warning
Province.Effingham,Province Lake,Effingham/Wakefield,,Anabaena,"243,172",9/1/2010,9/15/2010,14,NHLAK600020902-01,Warning
CanaanSt.Canaan,Canaan Street Lake,Canaan,,Anabaena,"217,000",9/2/2010,9/3/2010,1,NHLAK801060101-01-01,Warning
Surry.Surry,Surry Mountain Reservoir,Surry,,unidentified,">70,000 or >50%",9/2/2010,9/30/2010,28,NHLAK802010104-02-01,Warning
